'Time and date','Fc5.','Fc3.','Fc1.','Fcz.','Fc2.','Fc4.','Fc6.','C5..','C3..','C1..','Cz..','C2..','C4..','C6..','Cp5.','Cp3.','Cp1.','Cpz.','Cp2.','Cp4.','Cp6.','Fp1.','Fpz.','Fp2.','Af7.','Af3.','Afz.','Af4.','Af8.','F7..','F5..','F3..','F1..','Fz..','F2..','F4..','F6..','F8..','Ft7.','Ft8.','T7..','T8..','T9..','T10.','Tp7.','Tp8.','P7..','P5..','P3..','P1..','Pz..','P2..','P4..','P6..','P8..','Po7.','Po3.','Poz.','Po4.','Po8.','O1..','Oz..','O2..','Iz..','EDF Annotations'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','-'
'[16:17:00.000 12/08/2009]',5.000,6.000,2.000,-3.000,-8.000,-17.000,-17.000,-16.000,10.000,-1.000,-1.000,-6.000,-14.000,-13.000,7.000,7.000,4.000,8.000,-2.000,-4.000,-8.000,-50.000,-42.000,-40.000,-44.000,-20.000,-28.000,-33.000,-43.000,-14.000,-14.000,-15.000,0.000,-22.000,-24.000,-27.000,-33.000,-30.000,-5.000,-17.000,-3.000,-17.000,-3.000,-11.000,-2.000,-15.000,-3.000,-3.000,-3.000,-4.000,-13.000,-12.000,-13.000,-17.000,-18.000,-7.000,-7.000,-11.000,-14.000,-35.000,-11.000,-16.000,-11.000,-22.000,12587.000
'[16:17:00.006 12/08/2009]',-10.000,-6.000,-15.000,-21.000,-24.000,-31.000,-30.000,123.000,-4.000,-13.000,-15.000,-18.000,-20.000,-20.000,-3.000,-4.000,-6.000,-8.000,-10.000,-9.000,-12.000,-53.000,-46.000,-47.000,-45.000,-24.000,-31.000,-36.000,-46.000,-11.000,-16.000,-16.000,3.000,-25.000,-27.000,-28.000,-34.000,-44.000,-5.000,-22.000,-1.000,-15.000,2.000,-18.000,0.000,-12.000,-1.000,-2.000,-3.000,-4.000,-14.000,-12.000,-11.000,-13.000,-12.000,-3.000,-4.000,-10.000,-10.000,-27.000,-5.000,-11.000,-6.000,-19.000,12587.000
'[16:17:00.013 12/08/2009]',7.000,12.000,11.000,3.000,-3.000,-6.000,-4.000,-175.000,17.000,7.000,7.000,4.000,-5.000,-3.000,10.000,8.000,6.000,4.000,2.000,4.000,3.000,-45.000,-38.000,-40.000,-36.000,-15.000,-18.000,-22.000,-30.000,-3.000,-4.000,-4.000,7.000,-11.000,-10.000,-11.000,-18.000,-29.000,7.000,-5.000,13.000,-3.000,15.000,-11.000,16.000,-1.000,17.000,15.000,13.000,12.000,-1.000,2.000,2.000,3.000,1.000,17.000,15.000,3.000,4.000,-11.000,13.000,7.000,11.000,1.000,12338.000
'[16:17:00.019 12/08/2009]',11.000,18.000,15.000,14.000,11.000,5.000,4.000,41.000,22.000,15.000,13.000,13.000,10.000,14.000,20.000,20.000,20.000,13.000,14.000,16.000,15.000,-48.000,-40.000,-41.000,-39.000,-14.000,-14.000,-18.000,-28.000,-12.000,-4.000,-3.000,3.000,-6.000,-6.000,-4.000,-14.000,-20.000,0.000,-3.000,7.000,-4.000,5.000,-8.000,10.000,3.000,20.000,17.000,15.000,13.000,1.000,5.000,5.000,10.000,10.000,18.000,16.000,5.000,8.000,-5.000,13.000,8.000,13.000,1.000,12338.000
'[16:17:00.025 12/08/2009]',-2.000,7.000,7.000,7.000,3.000,1.000,-1.000,-33.000,14.000,10.000,10.000,8.000,4.000,4.000,6.000,5.000,6.000,-4.000,5.000,7.000,8.000,-65.000,-58.000,-54.000,-52.000,-32.000,-28.000,-33.000,-46.000,-25.000,-16.000,-16.000,7.000,-18.000,-23.000,-17.000,-29.000,-37.000,-15.000,-20.000,-11.000,-14.000,-10.000,-17.000,-15.000,0.000,4.000,1.000,-4.000,-6.000,-13.000,-7.000,-6.000,-2.000,1.000,2.000,-1.000,-9.000,-3.000,-18.000,-2.000,-4.000,-1.000,-11.000,5140.000
'[16:17:00.031 12/08/2009]',1.000,5.000,15.000,12.000,4.000,3.000,3.000,-310.000,14.000,6.000,11.000,7.000,-10.000,-5.000,-5.000,-8.000,-7.000,-10.000,-6.000,-2.000,-2.000,-52.000,-46.000,-43.000,-39.000,-18.000,-25.000,-31.000,-37.000,-11.000,-14.000,-13.000,10.000,-15.000,-17.000,-16.000,-25.000,-32.000,-3.000,-12.000,-1.000,-5.000,9.000,-5.000,5.000,-1.000,13.000,7.000,2.000,-1.000,-6.000,1.000,-1.000,3.000,4.000,15.000,12.000,4.000,6.000,-13.000,15.000,13.000,13.000,14.000,5140.000
'[16:17:00.038 12/08/2009]',22.000,21.000,32.000,31.000,22.000,22.000,31.000,-309.000,34.000,26.000,31.000,30.000,11.000,17.000,20.000,17.000,15.000,13.000,18.000,21.000,18.000,-15.000,-10.000,-11.000,-6.000,12.000,5.000,2.000,-1.000,21.000,14.000,13.000,25.000,13.000,15.000,13.000,11.000,1.000,24.000,18.000,27.000,22.000,30.000,14.000,34.000,17.000,38.000,33.000,29.000,25.000,19.000,23.000,18.000,21.000,19.000,36.000,31.000,24.000,22.000,-2.000,32.000,26.000,27.000,29.000,11008.000
'[16:17:00.044 12/08/2009]',44.000,41.000,45.000,43.000,36.000,38.000,52.000,-263.000,52.000,44.000,49.000,45.000,24.000,27.000,33.000,31.000,27.000,26.000,30.000,30.000,27.000,-5.000,2.000,1.000,1.000,13.000,12.000,10.000,11.000,20.000,17.000,16.000,33.000,18.000,15.000,15.000,12.000,13.000,21.000,16.000,24.000,23.000,25.000,15.000,32.000,17.000,33.000,30.000,26.000,25.000,19.000,21.000,15.000,18.000,13.000,29.000,25.000,18.000,14.000,-11.000,21.000,15.000,17.000,21.000,11008.000
'[16:17:00.050 12/08/2009]',34.000,32.000,31.000,32.000,26.000,25.000,26.000,-278.000,39.000,31.000,34.000,30.000,18.000,26.000,26.000,25.000,25.000,24.000,24.000,26.000,25.000,-12.000,-6.000,-3.000,-8.000,7.000,5.000,3.000,5.000,12.000,11.000,10.000,14.000,13.000,7.000,7.000,2.000,7.000,17.000,12.000,17.000,15.000,18.000,19.000,22.000,17.000,24.000,21.000,21.000,21.000,17.000,18.000,14.000,17.000,13.000,19.000,17.000,16.000,11.000,-11.000,12.000,8.000,13.000,11.000,12849.000
