'Time and date','Fc5.','Fc3.','Fc1.','Fcz.','Fc2.','Fc4.','Fc6.','C5..','C3..','C1..','Cz..','C2..','C4..','C6..','Cp5.','Cp3.','Cp1.','Cpz.','Cp2.','Cp4.','Cp6.','Fp1.','Fpz.','Fp2.','Af7.','Af3.','Afz.','Af4.','Af8.','F7..','F5..','F3..','F1..','Fz..','F2..','F4..','F6..','F8..','Ft7.','Ft8.','T7..','T8..','T9..','T10.','Tp7.','Tp8.','P7..','P5..','P3..','P1..','Pz..','P2..','P4..','P6..','P8..','Po7.','Po3.','Poz.','Po4.','Po8.','O1..','Oz..','O2..','Iz..','EDF Annotations'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','-'
'[16:17:00.000 12/08/2009]',2.000,9.000,4.000,6.000,2.000,5.000,6.000,-6.000,-6.000,-6.000,-6.000,-7.000,-10.000,-6.000,-7.000,-14.000,-15.000,-17.000,-16.000,-18.000,-12.000,-20.000,-15.000,-13.000,-13.000,16.000,18.000,17.000,11.000,16.000,19.000,14.000,13.000,14.000,13.000,13.000,24.000,19.000,4.000,8.000,-6.000,-4.000,-6.000,-12.000,-7.000,0.000,-15.000,-13.000,-9.000,-15.000,-9.000,-9.000,-10.000,-14.000,-13.000,-14.000,-11.000,-11.000,-11.000,-12.000,-15.000,-12.000,-8.000,-8.000,12587.000
'[16:17:00.006 12/08/2009]',1.000,7.000,1.000,4.000,1.000,4.000,6.000,-7.000,-7.000,-6.000,-8.000,-9.000,-12.000,-8.000,-7.000,-13.000,-17.000,-18.000,-18.000,-20.000,-15.000,-32.000,-25.000,-25.000,-25.000,8.000,10.000,10.000,0.000,8.000,13.000,7.000,7.000,8.000,8.000,8.000,16.000,11.000,1.000,0.000,-9.000,-6.000,-12.000,-13.000,-8.000,-5.000,-17.000,-15.000,-11.000,-17.000,-12.000,-14.000,-14.000,-18.000,-17.000,-15.000,-14.000,-13.000,-15.000,-18.000,-18.000,-15.000,-13.000,-15.000,12587.000
'[16:17:00.013 12/08/2009]',-2.000,4.000,-4.000,-1.000,-4.000,-2.000,1.000,-8.000,-9.000,-9.000,-11.000,-12.000,-16.000,-10.000,-12.000,-12.000,-18.000,-20.000,-21.000,-22.000,-17.000,-41.000,-36.000,-38.000,-33.000,1.000,3.000,0.000,-14.000,3.000,8.000,4.000,3.000,4.000,3.000,2.000,7.000,0.000,-2.000,-2.000,-9.000,-12.000,-14.000,-17.000,-14.000,-7.000,-16.000,-14.000,-10.000,-16.000,-11.000,-13.000,-14.000,-16.000,-16.000,-14.000,-13.000,-11.000,-14.000,-14.000,-16.000,-13.000,-11.000,-21.000,12338.000
'[16:17:00.019 12/08/2009]',-5.000,2.000,-5.000,-4.000,-8.000,-8.000,-7.000,-8.000,-8.000,-10.000,-14.000,-14.000,-20.000,-16.000,-17.000,-13.000,-18.000,-22.000,-22.000,-24.000,-20.000,-54.000,-49.000,-53.000,-43.000,-7.000,-5.000,-10.000,-28.000,-4.000,1.000,-1.000,-2.000,-2.000,-3.000,-4.000,-3.000,-11.000,-6.000,-11.000,-10.000,-19.000,-19.000,-19.000,-14.000,-14.000,-17.000,-16.000,-13.000,-18.000,-13.000,-16.000,-18.000,-21.000,-21.000,-16.000,-14.000,-15.000,-17.000,-17.000,-16.000,-15.000,-12.000,-8.000,12338.000
'[16:17:00.025 12/08/2009]',-11.000,-6.000,-11.000,-11.000,-15.000,-14.000,-12.000,-15.000,-16.000,-17.000,-20.000,-20.000,-27.000,-22.000,-21.000,-21.000,-25.000,-29.000,-28.000,-30.000,-26.000,-67.000,-61.000,-66.000,-56.000,-16.000,-15.000,-19.000,-40.000,-13.000,-8.000,-10.000,-11.000,-11.000,-11.000,-12.000,-4.000,-14.000,-14.000,-7.000,-18.000,-22.000,-15.000,-20.000,-20.000,-18.000,-23.000,-22.000,-19.000,-24.000,-19.000,-21.000,-22.000,-23.000,-21.000,-20.000,-18.000,-19.000,-20.000,-18.000,-22.000,-20.000,-16.000,-24.000,5140.000
'[16:17:00.031 12/08/2009]',-14.000,-10.000,-16.000,-16.000,-18.000,-15.000,-13.000,-18.000,-20.000,-20.000,-24.000,-21.000,-26.000,-20.000,-19.000,-24.000,-27.000,-31.000,-29.000,-29.000,-23.000,-71.000,-63.000,-62.000,-58.000,-17.000,-15.000,-18.000,-41.000,-13.000,-7.000,-10.000,-11.000,-10.000,-10.000,-10.000,3.000,-10.000,-10.000,-5.000,-16.000,-15.000,-2.000,-18.000,-16.000,-13.000,-18.000,-19.000,-16.000,-20.000,-18.000,-19.000,-19.000,-20.000,-17.000,-16.000,-15.000,-17.000,-18.000,-16.000,-19.000,-17.000,-15.000,-19.000,5140.000
'[16:17:00.038 12/08/2009]',-10.000,-7.000,-15.000,-14.000,-16.000,-14.000,-9.000,-13.000,-16.000,-19.000,-23.000,-21.000,-26.000,-19.000,-17.000,-24.000,-27.000,-32.000,-29.000,-31.000,-23.000,-74.000,-67.000,-67.000,-60.000,-17.000,-16.000,-21.000,-47.000,-12.000,-6.000,-11.000,-11.000,-11.000,-11.000,-12.000,-6.000,-20.000,-6.000,-14.000,-11.000,-19.000,-13.000,-19.000,-10.000,-18.000,-17.000,-19.000,-17.000,-22.000,-21.000,-23.000,-24.000,-25.000,-22.000,-15.000,-16.000,-20.000,-23.000,-23.000,-19.000,-19.000,-18.000,-14.000,0.000
'[16:17:00.044 12/08/2009]',-12.000,-10.000,-17.000,-16.000,-19.000,-17.000,-13.000,-15.000,-18.000,-21.000,-26.000,-24.000,-29.000,-23.000,-18.000,-28.000,-30.000,-34.000,-33.000,-34.000,-27.000,-80.000,-74.000,-82.000,-66.000,-21.000,-20.000,-24.000,-46.000,-16.000,-9.000,-14.000,-15.000,-14.000,-15.000,-15.000,-20.000,-21.000,-9.000,-18.000,-12.000,-23.000,-11.000,-21.000,-16.000,-19.000,-21.000,-21.000,-18.000,-24.000,-20.000,-23.000,-25.000,-26.000,-22.000,-18.000,-17.000,-20.000,-22.000,-20.000,-20.000,-18.000,-16.000,-26.000,0.000
'[16:17:00.050 12/08/2009]',-13.000,-10.000,-17.000,-17.000,-19.000,-19.000,-18.000,-15.000,-17.000,-20.000,-24.000,-22.000,-29.000,-23.000,-14.000,-26.000,-27.000,-31.000,-30.000,-33.000,-24.000,-82.000,-74.000,-81.000,-67.000,-23.000,-21.000,-28.000,-48.000,-17.000,-10.000,-14.000,-15.000,-14.000,-15.000,-16.000,-20.000,-19.000,-8.000,-18.000,-11.000,-21.000,-3.000,-20.000,-12.000,-15.000,-19.000,-18.000,-16.000,-21.000,-17.000,-19.000,-22.000,-22.000,-19.000,-15.000,-14.000,-18.000,-19.000,-18.000,-18.000,-16.000,-12.000,-12.000,0.000
